wallet,address,total_usd,wallet_tokens_usd,defi_usd,chain_count,chain_breakdown,top_holdings,top_defi
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,11.33,11.33,0.0,2,ethereum:9.10 | arbitrum:2.23,ETH 0.0037 ($9.10) [ethereum]; ETH 0.0009 ($2.23) [arbitrum],
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,18343.98,18343.98,0.0,1,"ethereum:18,343.98","PYUSD 18,333.9536 ($18,334.46) [ethereum]; ETH 0.0038 ($9.52) [ethereum]",
SP4-11,0x8647f91ed8b655593bb53edc4044caa1871bda21,0.0,0.0,0.0,0,,,
SP4-12,0x55b2c1c111b7cfb8863c2002b77d283269182c1d,15624.23,15624.23,0.0,1,"ethereum:15,624.23","PYUSD 15,580.2280 ($15,574.68) [ethereum]; ETH 0.0199 ($49.54) [ethereum]",
SP4-13,0x709f75210f81eb736f0abcad0041d5e0016dcc1e,63.71,63.71,0.0,1,ethereum:63.71,ETH 0.0256 ($63.71) [ethereum],
SP4-14,0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,7737.05,7737.05,0.0,1,"ethereum:7,737.05","ETH 2.9081 ($7,223.22) [ethereum]; PYUSD 514.0237 ($513.83) [ethereum]",
SP4-15,0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,1.06,1.06,0.0,1,ethereum:1.06,ETH 0.0004 ($1.06) [ethereum],
SP4-16,0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,19.78,19.78,0.0,1,ethereum:19.78,ETH 0.0080 ($19.77) [ethereum]; PYUSD 0.0097 ($0.01) [ethereum],
SP4-17,0xae145656410a94864773384ebfc1cc5f17862f0a,6733.39,6733.39,0.0,1,"ethereum:6,733.39","PYUSD 6,726.3111 ($6,723.73) [ethereum]; ETH 0.0039 ($9.66) [ethereum]",
SP4-18,0x2e0b9a7ae2cf4622783ca2a3df9ea62b44a7400b,0.0,0.0,0.0,0,,,
SP4-19,0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,2571.86,2571.86,0.0,1,"ethereum:2,571.86","PYUSD 2,522.9815 ($2,523.05) [ethereum]; ETH 0.0197 ($48.81) [ethereum]",
SP4-20,0x21749f9f2111662726acfda5699783789fb5dd22,0.0,0.0,0.0,0,,,
SP4-21,0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,3446.18,3446.18,0.0,1,"ethereum:3,446.18","PYUSD 3,431.9800 ($3,430.76) [ethereum]; ETH 0.0062 ($15.43) [ethereum]",
SP4-22,0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,4213.79,4213.79,0.0,1,"ethereum:4,213.79","PYUSD 4,189.5400 ($4,189.70) [ethereum]; ETH 0.0097 ($24.09) [ethereum]",
SP4-23,0x1936d5e843d24aae8f924fec21115f5bd6d39ea4,3241.94,3241.94,0.0,1,"ethereum:3,241.94","PYUSD 3,232.2200 ($3,231.07) [ethereum]; ETH 0.0044 ($10.87) [ethereum]",
SP4-24,0x04148a083592c640b743db06e270d7fae541c7b1,0.0,0.0,0.0,0,,,
SP4-25,0x599d42c74e9c825d3049b4b0d89f0e132fb430ff,0.0,0.0,0.0,0,,,
